target_screen_name,target_party,target,source,source_party,label,weight
AWidmannMauz,CDU,36,333,SPD,Martin Rosemann,1
AWidmannMauz,CDU,36,34,CDU,Antje Tillmann,1
AWidmannMauz,CDU,36,351,CDU,Michael Meister,2
AWidmannMauz,CDU,36,36,CDU,Annette Widmann-Mauz,1
AWidmannMauz,CDU,36,377,CDU,Nadine Schön,1
AWidmannMauz,CDU,36,406,CDU,Paul Ziemiak,1
AWidmannMauz,CDU,36,547,CDU,Marco Wanderwitz,2
AWidmannMauz,CDU,36,77,CDU,CDU CSU Bundestag,31
Axel_Fischer,CDU,37,138,CDU,Erwin Rüddel,1
Axel_Fischer,CDU,37,77,CDU,CDU CSU Bundestag,1
axel_knoerig,CDU,38,470,CDU,Stefan Kaufmann,1
axel_knoerig,CDU,38,77,CDU,CDU CSU Bundestag,1
b_riexinger,The Left,40,107,The Left,Die Linke,307
b_riexinger,The Left,40,11,The Left,Gökay Akbulut,8
b_riexinger,The Left,40,117,The Left,Doris Achelwilm,6
b_riexinger,The Left,40,137,The Left,Klaus Ernst,1
b_riexinger,The Left,40,207,The Left,Evrim Sommer,1
b_riexinger,The Left,40,251,The Left,Jutta Krellmann,1
b_riexinger,The Left,40,266,The Left,Katja Kipping,2
